SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID,DFS Match ID,Squiggle Match ID
2026,ROUND 7,Saturday April 25,Essendon , Collingwood, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8098,CD_M20260140704,8098,38551
2026,ROUND 7,Saturday April 25,Port Adelaide , Geelong Cats, Adelaide Oval,6.35pm,https://www.afl.com.au/afl/matches/8096,CD_M20260140705,8096,38552
2026,ROUND 7,Saturday April 25,Fremantle , Carlton, Optus Stadium ,8.15pm,https://www.afl.com.au/afl/matches/8105,CD_M20260140706,8105,38553
2026,ROUND 7,Sunday April 26,St Kilda , West Coast Eagles, Marvel Stadium,1.10pm,https://www.afl.com.au/afl/matches/8100,CD_M20260140707,8100,38554
2026,ROUND 7,Sunday April 26,Brisbane Lions , Adelaide Crows, The Gabba ,3.15pm,https://www.afl.com.au/afl/matches/8099,CD_M20260140708,8099,38555
2026,ROUND 7,Sunday April 26,GWS Giants , North Melbourne, Corroboree Group Oval Manuka,4.40pm,https://www.afl.com.au/afl/matches/8101,CD_M20260140709,8101,38556
2026,ROUND 8,Thursday April 30,Collingwood , Hawthorn, MCG ,7.30pm,https://www.afl.com.au/afl/matches/8104,CD_M20260140801,8104,38557
2026,ROUND 8,Friday May 1,Western Bulldogs , Fremantle, Marvel Stadium,7.20pm,https://www.afl.com.au/afl/matches/8102,CD_M20260140802,8102,38558
2026,ROUND 8,Friday May 1,Adelaide Crows , Port Adelaide, Adelaide Oval,8.10pm,https://www.afl.com.au/afl/matches/8103,CD_M20260140803,8103,38559
2026,ROUND 8,Saturday May 2,Essendon , Brisbane Lions, Marvel Stadium,12.35pm,https://www.afl.com.au/afl/matches/8109,CD_M20260140804,8109,38560
2026,ROUND 8,Saturday May 2,West Coast Eagles , Richmond, Optus Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8108,CD_M20260140805,8108,38561
2026,ROUND 8,Saturday May 2,Geelong Cats , North Melbourne, GMHBA Stadium ,4.35pm,https://www.afl.com.au/afl/matches/8106,CD_M20260140806,8106,38562
2026,ROUND 8,Saturday May 2,Carlton , St Kilda, Marvel Stadium,7.35pm,https://www.afl.com.au/afl/matches/8114,CD_M20260140807,8114,38563
2026,ROUND 8,Sunday May 3,Sydney Swans , Melbourne, SCG ,3.15pm,https://www.afl.com.au/afl/matches/8107,CD_M20260140808,8107,38564
2026,ROUND 8,Sunday May 3,Gold Coast Suns , GWS Giants, People First Stadium ,7.20pm,https://www.afl.com.au/afl/matches/8111,CD_M20260140809,8111,38565
2026,ROUND 9,Thursday May 7,Fremantle , Hawthorn, Optus Stadium ,8.10pm,https://www.afl.com.au/afl/matches/8113,CD_M20260140901,8113,38566
2026,ROUND 9,Friday May 8,Brisbane Lions , Carlton, The Gabba ,7.30pm,https://www.afl.com.au/afl/matches/8116,CD_M20260140902,8116,38567
2026,ROUND 9,Friday May 8,Port Adelaide , Western Bulldogs, Adelaide Oval,8.10pm,https://www.afl.com.au/afl/matches/8110,CD_M20260140903,8110,38568
2026,ROUND 9,Saturday May 9,North Melbourne , Sydney Swans, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8112,CD_M20260140904,8112,38569
2026,ROUND 9,Saturday May 9,GWS Giants , Essendon, ENGIE Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8115,CD_M20260140905,8115,38570
2026,ROUND 9,Saturday May 9,Gold Coast Suns , St Kilda, TIO Stadium ,7.10pm,https://www.afl.com.au/afl/matches/8120,CD_M20260140906,8120,38571
2026,ROUND 9,Saturday May 9,Geelong Cats , Collingwood, MCG ,7.35pm,https://www.afl.com.au/afl/matches/8119,CD_M20260140907,8119,38572
2026,ROUND 9,Sunday May 10,Melbourne , West Coast Eagles, Marvel Stadium,1.10pm,https://www.afl.com.au/afl/matches/8122,CD_M20260140908,8122,38573
2026,ROUND 9,Sunday May 10,Richmond , Adelaide Crows, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8118,CD_M20260140909,8118,38574
2026,ROUND 10,Thursday May 14,Brisbane Lions , Geelong Cats, The Gabba ,7.30pm,https://www.afl.com.au/afl/matches/8117,CD_M20260141001,8117,38575
2026,ROUND 10,Friday May 15,Sydney Swans , Collingwood, SCG ,7.30pm,https://www.afl.com.au/afl/matches/8121,CD_M20260141002,8121,38576
2026,ROUND 10,Friday May 15,Gold Coast Suns , Port Adelaide, TIO Stadium ,8.10pm,https://www.afl.com.au/afl/matches/8125,CD_M20260141003,8125,38577
2026,ROUND 10,Saturday May 16,Adelaide Crows , North Melbourne, Adelaide Oval,1.15pm,https://www.afl.com.au/afl/matches/8124,CD_M20260141004,8124,38578
2026,ROUND 10,Saturday May 16,Melbourne , Hawthorn, MCG ,4.15pm,https://www.afl.com.au/afl/matches/8129,CD_M20260141005,8129,38579
2026,ROUND 10,Saturday May 16,Carlton , Western Bulldogs, Marvel Stadium,7.35pm,https://www.afl.com.au/afl/matches/8123,CD_M20260141006,8123,38580
2026,ROUND 10,Sunday May 17,Essendon , Fremantle, MCG ,1.10pm,https://www.afl.com.au/afl/matches/8126,CD_M20260141007,8126,38581
2026,ROUND 10,Sunday May 17,St Kilda , Richmond, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8127,CD_M20260141008,8127,38582
2026,ROUND 10,Sunday May 17,West Coast Eagles , GWS Giants, Optus Stadium ,6.15pm,https://www.afl.com.au/afl/matches/8128,CD_M20260141009,8128,38583
2026,ROUND 11,Thursday May 21,Hawthorn , Adelaide Crows, UTAS Stadium ,7.30pm,https://www.afl.com.au/afl/matches/8130,CD_M20260141101,8130,38584
2026,ROUND 11,Friday May 22,Richmond , Essendon, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8131,CD_M20260141102,8131,38585
2026,ROUND 11,Friday May 22,Fremantle , St Kilda, Optus Stadium ,8.30pm,https://www.afl.com.au/afl/matches/8133,CD_M20260141103,8133,38586
2026,ROUND 11,Saturday May 23,North Melbourne , Gold Coast Suns, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8134,CD_M20260141104,8134,38587
2026,ROUND 11,Saturday May 23,Geelong Cats , Sydney Swans, GMHBA Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8132,CD_M20260141105,8132,38588
2026,ROUND 11,Saturday May 23,Collingwood , West Coast Eagles, MCG ,4.35pm,https://www.afl.com.au/afl/matches/8137,CD_M20260141106,8137,38589
2026,ROUND 11,Saturday May 23,Port Adelaide , Carlton, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8135,CD_M20260141107,8135,38590
2026,ROUND 11,Sunday May 24,GWS Giants , Brisbane Lions, ENGIE Stadium ,12.30pm,https://www.afl.com.au/afl/matches/8136,CD_M20260141108,8136,38591
2026,ROUND 11,Sunday May 24,Western Bulldogs , Melbourne, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8138,CD_M20260141109,8138,38592
2026,ROUND 12,Thursday May 28,St Kilda , Hawthorn, Marvel Stadium,7.30pm,https://www.afl.com.au/afl/matches/8139,CD_M20260141201,8139,38593
2026,ROUND 12,Friday May 29,Carlton , Geelong Cats, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8140,CD_M20260141202,8140,38594
2026,ROUND 12,Saturday May 30,Sydney Swans , Richmond, SCG ,1.15pm,https://www.afl.com.au/afl/matches/8141,CD_M20260141203,8141,38595
2026,ROUND 12,Saturday May 30,Brisbane Lions , Fremantle, The Gabba ,4.15pm,https://www.afl.com.au/afl/matches/8142,CD_M20260141204,8142,38596
2026,ROUND 12,Saturday May 30,Western Bulldogs , Collingwood, Marvel Stadium,7.35pm,https://www.afl.com.au/afl/matches/8143,CD_M20260141205,8143,38597
2026,ROUND 12,Sunday May 31,Melbourne , GWS Giants, TIO Traeger Park Oval,3.15pm,https://www.afl.com.au/afl/matches/8144,CD_M20260141206,8144,38598
2026,ROUND 12,Sunday May 31,West Coast Eagles , Essendon, Optus Stadium ,7.20pm,https://www.afl.com.au/afl/matches/8145,CD_M20260141207,8145,38599
2026,ROUND 13,Thursday June 4,Adelaide Crows , Geelong Cats, Adelaide Oval,7.30pm,https://www.afl.com.au/afl/matches/8148,CD_M20260141301,8148,38600
2026,ROUND 13,Friday June 5,Hawthorn , Western Bulldogs, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8146,CD_M20260141302,8146,38601
2026,ROUND 13,Saturday June 6,North Melbourne , Fremantle, Hands Oval,2.15pm,https://www.afl.com.au/afl/matches/8147,CD_M20260141303,8147,38602
2026,ROUND 13,Saturday June 6,Gold Coast Suns , Brisbane Lions, People First Stadium ,5.15pm,https://www.afl.com.au/afl/matches/8150,CD_M20260141304,8150,38603
2026,ROUND 13,Saturday June 6,West Coast Eagles , Port Adelaide, Optus Stadium ,8.15pm,https://www.afl.com.au/afl/matches/8149,CD_M20260141305,8149,38604
2026,ROUND 13,Sunday June 7,Sydney Swans , St Kilda, SCG ,3.15pm,https://www.afl.com.au/afl/matches/8152,CD_M20260141306,8152,38605
2026,ROUND 13,Sunday June 7,Essendon , Carlton, MCG ,7.20pm,https://www.afl.com.au/afl/matches/8151,CD_M20260141307,8151,38606
2026,ROUND 13,Monday June 8,Collingwood , Melbourne, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8153,CD_M20260141308,8153,38607
2026,ROUND 14,Thursday June 11,Western Bulldogs , Adelaide Crows, Marvel Stadium,7.30pm,https://www.afl.com.au/afl/matches/8154,CD_M20260141401,8154,38608
2026,ROUND 14,Friday June 12,Geelong Cats , Gold Coast Suns, GMHBA Stadium ,7.40pm,https://www.afl.com.au/afl/matches/8158,CD_M20260141402,8158,38609
2026,ROUND 14,Saturday June 13,Melbourne , Essendon, MCG ,1.15pm,https://www.afl.com.au/afl/matches/8156,CD_M20260141403,8156,38610
2026,ROUND 14,Saturday June 13,North Melbourne , West Coast Eagles, Optus Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8155,CD_M20260141404,8155,38611
2026,ROUND 14,Saturday June 13,Port Adelaide , Sydney Swans, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8157,CD_M20260141405,8157,38612
2026,ROUND 14,Sunday June 14,Richmond , Brisbane Lions, Ninja Stadium ,1.10pm,https://www.afl.com.au/afl/matches/8159,CD_M20260141406,8159,38613
