SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID
2026,ROUND 11,Saturday May 23,North Melbourne , Gold Coast Suns, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8134,CD_M20260141104
2026,ROUND 11,Saturday May 23,Geelong Cats , Sydney Swans, GMHBA Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8132,CD_M20260141105
2026,ROUND 11,Saturday May 23,Collingwood , West Coast Eagles, MCG ,4.35pm,https://www.afl.com.au/afl/matches/8137,CD_M20260141106
2026,ROUND 11,Saturday May 23,Port Adelaide , Carlton, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8135,CD_M20260141107
2026,ROUND 11,Sunday May 24,GWS Giants , Brisbane Lions, ENGIE Stadium ,12.30pm,https://www.afl.com.au/afl/matches/8136,CD_M20260141108
2026,ROUND 11,Sunday May 24,Western Bulldogs , Melbourne, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8138,CD_M20260141109
2026,ROUND 12,Thursday May 28,St Kilda , Hawthorn, Marvel Stadium,7.30pm,https://www.afl.com.au/afl/matches/8139,CD_M20260141201
2026,ROUND 12,Friday May 29,Carlton , Geelong Cats, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8140,CD_M20260141202
2026,ROUND 12,Saturday May 30,Sydney Swans , Richmond, SCG ,1.15pm,https://www.afl.com.au/afl/matches/8141,CD_M20260141203
2026,ROUND 12,Saturday May 30,Brisbane Lions , Fremantle, The Gabba ,4.15pm,https://www.afl.com.au/afl/matches/8142,CD_M20260141204
2026,ROUND 12,Saturday May 30,Western Bulldogs , Collingwood, Marvel Stadium,7.35pm,https://www.afl.com.au/afl/matches/8143,CD_M20260141205
2026,ROUND 12,Sunday May 31,Melbourne , GWS Giants, TIO Traeger Park Oval,3.15pm,https://www.afl.com.au/afl/matches/8144,CD_M20260141206
2026,ROUND 12,Sunday May 31,West Coast Eagles , Essendon, Optus Stadium ,7.20pm,https://www.afl.com.au/afl/matches/8145,CD_M20260141207
2026,ROUND 13,Thursday June 4,Adelaide Crows , Geelong Cats, Adelaide Oval,7.30pm,https://www.afl.com.au/afl/matches/8148,CD_M20260141301
2026,ROUND 13,Friday June 5,Hawthorn , Western Bulldogs, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8146,CD_M20260141302
2026,ROUND 13,Saturday June 6,North Melbourne , Fremantle, Hands Oval,2.15pm,https://www.afl.com.au/afl/matches/8147,CD_M20260141303
2026,ROUND 13,Saturday June 6,Gold Coast Suns , Brisbane Lions, People First Stadium ,5.15pm,https://www.afl.com.au/afl/matches/8150,CD_M20260141304
2026,ROUND 13,Saturday June 6,West Coast Eagles , Port Adelaide, Optus Stadium ,8.15pm,https://www.afl.com.au/afl/matches/8149,CD_M20260141305
2026,ROUND 13,Sunday June 7,Sydney Swans , St Kilda, SCG ,3.15pm,https://www.afl.com.au/afl/matches/8152,CD_M20260141306
2026,ROUND 13,Sunday June 7,Essendon , Carlton, MCG ,7.20pm,https://www.afl.com.au/afl/matches/8151,CD_M20260141307
2026,ROUND 13,Monday June 8,Collingwood , Melbourne, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8153,CD_M20260141308
2026,ROUND 14,Thursday June 11,Western Bulldogs , Adelaide Crows, Marvel Stadium,7.30pm,https://www.afl.com.au/afl/matches/8154,CD_M20260141401
2026,ROUND 14,Friday June 12,Geelong Cats , Gold Coast Suns, GMHBA Stadium ,7.40pm,https://www.afl.com.au/afl/matches/8158,CD_M20260141402
2026,ROUND 14,Saturday June 13,Melbourne , Essendon, MCG ,1.15pm,https://www.afl.com.au/afl/matches/8156,CD_M20260141403
2026,ROUND 14,Saturday June 13,North Melbourne , West Coast Eagles, Optus Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8155,CD_M20260141404
2026,ROUND 14,Saturday June 13,Port Adelaide , Sydney Swans, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8157,CD_M20260141405
2026,ROUND 14,Sunday June 14,Richmond , Brisbane Lions, Ninja Stadium ,1.10pm,https://www.afl.com.au/afl/matches/8159,CD_M20260141406
2026,ROUND 14,Sunday June 14,St Kilda , GWS Giants, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8170,CD_M20260141407
2026,ROUND 15,Thursday June 18,Fremantle , Geelong Cats, Optus Stadium ,7.30pm,https://www.afl.com.au/afl/matches/8160,CD_M20260141501
2026,ROUND 15,Friday June 19,Gold Coast Suns , Hawthorn, People First Stadium ,7.40pm,https://www.afl.com.au/afl/matches/8161,CD_M20260141502
2026,ROUND 15,Saturday June 20,Adelaide Crows , Melbourne, Adelaide Oval,1.15pm,https://www.afl.com.au/afl/matches/8164,CD_M20260141503
2026,ROUND 15,Saturday June 20,GWS Giants , Carlton, ENGIE Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8162,CD_M20260141504
2026,ROUND 15,Saturday June 20,Collingwood , Port Adelaide, MCG ,7.35pm,https://www.afl.com.au/afl/matches/8163,CD_M20260141505
2026,ROUND 15,Sunday June 21,Richmond , North Melbourne, MCG ,1.10pm,https://www.afl.com.au/afl/matches/8165,CD_M20260141506
2026,ROUND 15,Sunday June 21,St Kilda , Western Bulldogs, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8166,CD_M20260141507
2026,ROUND 16,Thursday June 25,Brisbane Lions , Sydney Swans, The Gabba,7.30pm,https://www.afl.com.au/afl/matches/8168,CD_M20260141601
2026,ROUND 16,Saturday June 27,Carlton , West Coast Eagles, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8167,CD_M20260141602
2026,ROUND 16,Saturday June 27,Collingwood , Richmond, MCG,4.15pm,https://www.afl.com.au/afl/matches/8174,CD_M20260141603
2026,ROUND 16,Friday June 26,Hawthorn , GWS Giants, MCG,7.40pm,https://www.afl.com.au/afl/matches/8172,CD_M20260141605
2026,ROUND 16,Sunday June 28,North Melbourne , Essendon, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8169,CD_M20260141606
2026,ROUND 16,Saturday June 27,Port Adelaide , Adelaide Crows, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8179,CD_M20260141607
2026,ROUND 16,Sunday June 28,Fremantle , Gold Coast Suns, Optus Stadium,5.10pm,https://www.afl.com.au/afl/matches/8171,CD_M20260141604
2026,ROUND 17,Sunday July 5,Essendon , St Kilda, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8173,CD_M20260141701
2026,ROUND 17,Thursday July 2,Geelong Cats , Brisbane Lions, GMHBA Stadium,7.30pm,https://www.afl.com.au/afl/matches/8178,CD_M20260141702
2026,ROUND 17,Saturday July 4,Gold Coast Suns , Collingwood, People First Stadium,4.15pm,https://www.afl.com.au/afl/matches/8180,CD_M20260141703
2026,ROUND 17,Saturday July 4,GWS Giants , Fremantle, Corroboree Group Oval Manuka,1.35pm,https://www.afl.com.au/afl/matches/8187,CD_M20260141704
2026,ROUND 17,Saturday July 4,Hawthorn , Melbourne, UTAS Stadium,1.15pm,https://www.afl.com.au/afl/matches/8175,CD_M20260141705
2026,ROUND 17,Saturday July 4,Richmond , Carlton, MCG,7.35pm,https://www.afl.com.au/afl/matches/8176,CD_M20260141707
2026,ROUND 17,Friday July 3,Sydney Swans , Western Bulldogs, SCG,7.40pm,https://www.afl.com.au/afl/matches/8177,CD_M20260141708
2026,ROUND 17,Sunday July 5,Port Adelaide , North Melbourne, Adelaide Oval,4.40pm,https://www.afl.com.au/afl/matches/8181,CD_M20260141706
2026,ROUND 17,Friday July 3,West Coast Eagles , Adelaide Crows, Optus Stadium,8.10pm,https://www.afl.com.au/afl/matches/8183,CD_M20260141709
2026,ROUND 18,Sunday July 12,Brisbane Lions , Essendon, The Gabba,4.40pm,https://www.afl.com.au/afl/matches/8186,CD_M20260141802
2026,ROUND 18,Saturday July 11,Carlton , Hawthorn, MCG,7.35pm,https://www.afl.com.au/afl/matches/8184,CD_M20260141803
2026,ROUND 18,Friday July 10,Collingwood , North Melbourne, Marvel Stadium,7.40pm,https://www.afl.com.au/afl/matches/8182,CD_M20260141804
2026,ROUND 18,Saturday July 11,GWS Giants , Geelong Cats, ENGIE Stadium,4.15pm,https://www.afl.com.au/afl/matches/8192,CD_M20260141806
2026,ROUND 18,Sunday July 12,Melbourne , Richmond, MCG,3.15pm,https://www.afl.com.au/afl/matches/8185,CD_M20260141807
2026,ROUND 18,Saturday July 11,St Kilda , Port Adelaide, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8188,CD_M20260141808
2026,ROUND 18,Sunday July 12,Western Bulldogs , West Coast Eagles, Marvel Stadium,1.10pm,https://www.afl.com.au/afl/matches/8193,CD_M20260141809
2026,ROUND 18,Saturday July 11,Adelaide Crows , Gold Coast Suns, Adelaide Oval,8.10pm,https://www.afl.com.au/afl/matches/8190,CD_M20260141801
2026,ROUND 18,Thursday July 9,Fremantle , Sydney Swans, Optus Stadium,8.10pm,https://www.afl.com.au/afl/matches/8189,CD_M20260141805
2026,ROUND 19,Saturday July 18,Collingwood , Carlton, MCG,7.35pm,https://www.afl.com.au/afl/matches/8194,CD_M20260141901
2026,ROUND 19,Sunday July 19,Essendon , GWS Giants, Marvel Stadium,4.40pm,https://www.afl.com.au/afl/matches/8191,CD_M20260141902
2026,ROUND 19,Thursday July 16,Geelong Cats , St Kilda, GMHBA Stadium,7.30pm,https://www.afl.com.au/afl/matches/8195,CD_M20260141903
2026,ROUND 19,Sunday July 19,Gold Coast Suns , Western Bulldogs, People First Stadium,3.15pm,https://www.afl.com.au/afl/matches/8200,CD_M20260141904
2026,ROUND 19,Saturday July 18,North Melbourne , Melbourne, Marvel Stadium,4.15pm,https://www.afl.com.au/afl/matches/8197,CD_M20260141905
2026,ROUND 19,Sunday July 19,Richmond , Hawthorn, MCG,1.10pm,https://www.afl.com.au/afl/matches/8196,CD_M20260141907
2026,ROUND 19,Friday July 17,Sydney Swans , Adelaide Crows, SCG,7.40pm,https://www.afl.com.au/afl/matches/8199,CD_M20260141908
2026,ROUND 19,Saturday July 18,Port Adelaide , Fremantle, Adelaide Oval,1.15pm,https://www.afl.com.au/afl/matches/8198,CD_M20260141906
2026,ROUND 19,Saturday July 18,West Coast Eagles , Brisbane Lions, Optus Stadium,8.10pm,https://www.afl.com.au/afl/matches/8202,CD_M20260141909
2026,ROUND 20,Sunday July 26,Brisbane Lions , Port Adelaide, The Gabba,1.10pm,https://www.afl.com.au/afl/matches/8203,CD_M20260142002
2026,ROUND 20,Saturday July 25,Carlton , Gold Coast Suns, Marvel Stadium,1.05pm,https://www.afl.com.au/afl/matches/8201,CD_M20260142003
2026,ROUND 20,Saturday July 25,GWS Giants , Sydney Swans, ENGIE Stadium,4.35pm,https://www.afl.com.au/afl/matches/8208,CD_M20260142005
2026,ROUND 20,Saturday July 25,Hawthorn , Essendon, MCG,4.15pm,https://www.afl.com.au/afl/matches/8206,CD_M20260142006
