SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID,Footy Info
2026,ROUND 11,Saturday May 23,North Melbourne , Gold Coast Suns, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8134,CD_M20260141104,https://www.footyinfo.com/match/australian-football-league/2026/round-11/north-melbourne-vs-gold-coast-19031
2026,ROUND 11,Saturday May 23,Geelong Cats , Sydney Swans, GMHBA Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8132,CD_M20260141105,https://www.footyinfo.com/match/australian-football-league/2026/round-11/geelong-vs-sydney-19032
2026,ROUND 11,Saturday May 23,Collingwood , West Coast Eagles, MCG ,4.35pm,https://www.afl.com.au/afl/matches/8137,CD_M20260141106,https://www.footyinfo.com/match/australian-football-league/2026/round-11/collingwood-vs-west-coast-19033
2026,ROUND 11,Saturday May 23,Port Adelaide , Carlton, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8135,CD_M20260141107,https://www.footyinfo.com/match/australian-football-league/2026/round-11/port-adelaide-vs-carlton-19034
2026,ROUND 11,Sunday May 24,GWS Giants , Brisbane Lions, ENGIE Stadium ,12.30pm,https://www.afl.com.au/afl/matches/8136,CD_M20260141108,https://www.footyinfo.com/match/australian-football-league/2026/round-11/gws-vs-brisbane-19035
2026,ROUND 11,Sunday May 24,Western Bulldogs , Melbourne, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8138,CD_M20260141109,https://www.footyinfo.com/match/australian-football-league/2026/round-11/western-bulldogs-vs-melbourne-19036
2026,ROUND 12,Thursday May 28,St Kilda , Hawthorn, Marvel Stadium,7.30pm,https://www.afl.com.au/afl/matches/8139,CD_M20260141201,https://www.footyinfo.com/match/australian-football-league/2026/round-12/st-kilda-vs-hawthorn-19037
2026,ROUND 12,Friday May 29,Carlton , Geelong Cats, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8140,CD_M20260141202,https://www.footyinfo.com/match/australian-football-league/2026/round-12/carlton-vs-geelong-19038
2026,ROUND 12,Saturday May 30,Sydney Swans , Richmond, SCG ,1.15pm,https://www.afl.com.au/afl/matches/8141,CD_M20260141203,https://www.footyinfo.com/match/australian-football-league/2026/round-12/sydney-vs-richmond-19039
2026,ROUND 12,Saturday May 30,Brisbane Lions , Fremantle, The Gabba ,4.15pm,https://www.afl.com.au/afl/matches/8142,CD_M20260141204,https://www.footyinfo.com/match/australian-football-league/2026/round-12/brisbane-vs-fremantle-19040
2026,ROUND 12,Saturday May 30,Western Bulldogs , Collingwood, Marvel Stadium,7.35pm,https://www.afl.com.au/afl/matches/8143,CD_M20260141205,https://www.footyinfo.com/match/australian-football-league/2026/round-12/western-bulldogs-vs-collingwood-19041
2026,ROUND 12,Sunday May 31,Melbourne , GWS Giants, TIO Traeger Park Oval,3.15pm,https://www.afl.com.au/afl/matches/8144,CD_M20260141206,https://www.footyinfo.com/match/australian-football-league/2026/round-12/melbourne-vs-gws-19042
2026,ROUND 12,Sunday May 31,West Coast Eagles , Essendon, Optus Stadium ,7.20pm,https://www.afl.com.au/afl/matches/8145,CD_M20260141207,https://www.footyinfo.com/match/australian-football-league/2026/round-12/west-coast-vs-essendon-19043
2026,ROUND 13,Thursday June 4,Adelaide Crows , Geelong Cats, Adelaide Oval,7.30pm,https://www.afl.com.au/afl/matches/8148,CD_M20260141301,https://www.footyinfo.com/match/australian-football-league/2026/round-13/adelaide-vs-geelong-19044
2026,ROUND 13,Friday June 5,Hawthorn , Western Bulldogs, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8146,CD_M20260141302,https://www.footyinfo.com/match/australian-football-league/2026/round-13/hawthorn-vs-western-bulldogs-19045
2026,ROUND 13,Saturday June 6,North Melbourne , Fremantle, Hands Oval,2.15pm,https://www.afl.com.au/afl/matches/8147,CD_M20260141303,https://www.footyinfo.com/match/australian-football-league/2026/round-13/north-melbourne-vs-fremantle-19046
2026,ROUND 13,Saturday June 6,Gold Coast Suns , Brisbane Lions, People First Stadium ,5.15pm,https://www.afl.com.au/afl/matches/8150,CD_M20260141304,https://www.footyinfo.com/match/australian-football-league/2026/round-13/gold-coast-vs-brisbane-19047
2026,ROUND 13,Saturday June 6,West Coast Eagles , Port Adelaide, Optus Stadium ,8.15pm,https://www.afl.com.au/afl/matches/8149,CD_M20260141305,https://www.footyinfo.com/match/australian-football-league/2026/round-13/west-coast-vs-port-adelaide-19048
2026,ROUND 13,Sunday June 7,Sydney Swans , St Kilda, SCG ,3.15pm,https://www.afl.com.au/afl/matches/8152,CD_M20260141306,https://www.footyinfo.com/match/australian-football-league/2026/round-13/sydney-vs-st-kilda-19049
2026,ROUND 13,Sunday June 7,Essendon , Carlton, MCG ,7.20pm,https://www.afl.com.au/afl/matches/8151,CD_M20260141307,https://www.footyinfo.com/match/australian-football-league/2026/round-13/essendon-vs-carlton-19050
2026,ROUND 13,Monday June 8,Collingwood , Melbourne, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8153,CD_M20260141308,https://www.footyinfo.com/match/australian-football-league/2026/round-13/collingwood-vs-melbourne-19051
2026,ROUND 14,Thursday June 11,Western Bulldogs , Adelaide Crows, Marvel Stadium,7.30pm,https://www.afl.com.au/afl/matches/8154,CD_M20260141401,https://www.footyinfo.com/match/australian-football-league/2026/round-14/western-bulldogs-vs-adelaide-19052
2026,ROUND 14,Friday June 12,Geelong Cats , Gold Coast Suns, GMHBA Stadium ,7.40pm,https://www.afl.com.au/afl/matches/8158,CD_M20260141402,https://www.footyinfo.com/match/australian-football-league/2026/round-14/geelong-vs-gold-coast-19053
2026,ROUND 14,Saturday June 13,Melbourne , Essendon, MCG ,1.15pm,https://www.afl.com.au/afl/matches/8156,CD_M20260141403,https://www.footyinfo.com/match/australian-football-league/2026/round-14/melbourne-vs-essendon-19054
2026,ROUND 14,Saturday June 13,North Melbourne , West Coast Eagles, Optus Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8155,CD_M20260141404,https://www.footyinfo.com/match/australian-football-league/2026/round-14/north-melbourne-vs-west-coast-19055
2026,ROUND 14,Saturday June 13,Port Adelaide , Sydney Swans, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8157,CD_M20260141405,https://www.footyinfo.com/match/australian-football-league/2026/round-14/port-adelaide-vs-sydney-19056
2026,ROUND 14,Sunday June 14,Richmond , Brisbane Lions, Ninja Stadium ,1.10pm,https://www.afl.com.au/afl/matches/8159,CD_M20260141406,https://www.footyinfo.com/match/australian-football-league/2026/round-14/richmond-vs-brisbane-19057
2026,ROUND 14,Sunday June 14,St Kilda , GWS Giants, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8170,CD_M20260141407,https://www.footyinfo.com/match/australian-football-league/2026/round-14/st-kilda-vs-gws-19058
2026,ROUND 15,Thursday June 18,Fremantle , Geelong Cats, Optus Stadium ,7.30pm,https://www.afl.com.au/afl/matches/8160,CD_M20260141501,https://www.footyinfo.com/match/australian-football-league/2026/round-15/fremantle-vs-geelong-19059
2026,ROUND 15,Friday June 19,Gold Coast Suns , Hawthorn, People First Stadium ,7.40pm,https://www.afl.com.au/afl/matches/8161,CD_M20260141502,https://www.footyinfo.com/match/australian-football-league/2026/round-15/gold-coast-vs-hawthorn-19060
2026,ROUND 15,Saturday June 20,Adelaide Crows , Melbourne, Adelaide Oval,1.15pm,https://www.afl.com.au/afl/matches/8164,CD_M20260141503,https://www.footyinfo.com/match/australian-football-league/2026/round-15/adelaide-vs-melbourne-19061
2026,ROUND 15,Saturday June 20,GWS Giants , Carlton, ENGIE Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8162,CD_M20260141504,https://www.footyinfo.com/match/australian-football-league/2026/round-15/gws-vs-carlton-19062
2026,ROUND 15,Saturday June 20,Collingwood , Port Adelaide, MCG ,7.35pm,https://www.afl.com.au/afl/matches/8163,CD_M20260141505,https://www.footyinfo.com/match/australian-football-league/2026/round-15/collingwood-vs-port-adelaide-19063
2026,ROUND 15,Sunday June 21,Richmond , North Melbourne, MCG ,1.10pm,https://www.afl.com.au/afl/matches/8165,CD_M20260141506,https://www.footyinfo.com/match/australian-football-league/2026/round-15/richmond-vs-north-melbourne-19064
2026,ROUND 15,Sunday June 21,St Kilda , Western Bulldogs, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8166,CD_M20260141507,https://www.footyinfo.com/match/australian-football-league/2026/round-15/st-kilda-vs-western-bulldogs-19065
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Brisbane Lions , Sydney Swans, The Gabba,,https://www.afl.com.au/afl/matches/8168,CD_M20260141601,https://www.footyinfo.com/match/australian-football-league/2026/round-16/brisbane-vs-sydney-19066
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Carlton , West Coast Eagles, Marvel Stadium,,https://www.afl.com.au/afl/matches/8167,CD_M20260141602,https://www.footyinfo.com/match/australian-football-league/2026/round-16/carlton-vs-west-coast-19067
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Collingwood , Richmond, MCG,,https://www.afl.com.au/afl/matches/8174,CD_M20260141603,https://www.footyinfo.com/match/australian-football-league/2026/round-16/collingwood-vs-richmond-19068
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Hawthorn , GWS Giants, MCG,,https://www.afl.com.au/afl/matches/8172,CD_M20260141605,https://www.footyinfo.com/match/australian-football-league/2026/round-16/hawthorn-vs-gws-19069
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,North Melbourne , Essendon, Marvel Stadium,,https://www.afl.com.au/afl/matches/8169,CD_M20260141606,https://www.footyinfo.com/match/australian-football-league/2026/round-16/north-melbourne-vs-essendon-19070
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Port Adelaide , Adelaide Crows, Adelaide Oval,,https://www.afl.com.au/afl/matches/8179,CD_M20260141607,https://www.footyinfo.com/match/australian-football-league/2026/round-16/port-adelaide-vs-adelaide-19071
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Fremantle , Gold Coast Suns, Optus Stadium,,https://www.afl.com.au/afl/matches/8171,CD_M20260141604,https://www.footyinfo.com/match/australian-football-league/2026/round-16/fremantle-vs-gold-coast-19072
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Essendon , St Kilda, Marvel Stadium,,https://www.afl.com.au/afl/matches/8173,CD_M20260141701,https://www.footyinfo.com/match/australian-football-league/2026/round-17/essendon-vs-st-kilda-19073
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Geelong Cats , Brisbane Lions, GMHBA Stadium,,https://www.afl.com.au/afl/matches/8178,CD_M20260141702,https://www.footyinfo.com/match/australian-football-league/2026/round-17/geelong-vs-brisbane-19074
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Gold Coast Suns , Collingwood, People First Stadium,,https://www.afl.com.au/afl/matches/8180,CD_M20260141703,https://www.footyinfo.com/match/australian-football-league/2026/round-17/gold-coast-vs-collingwood-19075
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,GWS Giants , Fremantle, Corroboree Group Oval Manuka,,https://www.afl.com.au/afl/matches/8187,CD_M20260141704,https://www.footyinfo.com/match/australian-football-league/2026/round-17/gws-vs-fremantle-19076
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Hawthorn , Melbourne, UTAS Stadium,,https://www.afl.com.au/afl/matches/8175,CD_M20260141705,https://www.footyinfo.com/match/australian-football-league/2026/round-17/hawthorn-vs-melbourne-19077
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Richmond , Carlton, MCG,,https://www.afl.com.au/afl/matches/8176,CD_M20260141707,https://www.footyinfo.com/match/australian-football-league/2026/round-17/richmond-vs-carlton-19078
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Sydney Swans , Western Bulldogs, SCG,,https://www.afl.com.au/afl/matches/8177,CD_M20260141708,https://www.footyinfo.com/match/australian-football-league/2026/round-17/sydney-vs-western-bulldogs-19079
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Port Adelaide , North Melbourne, Adelaide Oval,,https://www.afl.com.au/afl/matches/8181,CD_M20260141706,https://www.footyinfo.com/match/australian-football-league/2026/round-17/port-adelaide-vs-north-melbourne-19080
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,West Coast Eagles , Adelaide Crows, Optus Stadium,,https://www.afl.com.au/afl/matches/8183,CD_M20260141709,https://www.footyinfo.com/match/australian-football-league/2026/round-17/west-coast-vs-adelaide-19081
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Brisbane Lions , Essendon, The Gabba,,https://www.afl.com.au/afl/matches/8186,CD_M20260141802,https://www.footyinfo.com/match/australian-football-league/2026/round-18/brisbane-vs-essendon-19082
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Carlton , Hawthorn, MCG,,https://www.afl.com.au/afl/matches/8184,CD_M20260141803,https://www.footyinfo.com/match/australian-football-league/2026/round-18/carlton-vs-hawthorn-19083
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Collingwood , North Melbourne, Marvel Stadium,,https://www.afl.com.au/afl/matches/8182,CD_M20260141804,https://www.footyinfo.com/match/australian-football-league/2026/round-18/collingwood-vs-north-melbourne-19084
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,GWS Giants , Geelong Cats, ENGIE Stadium,,https://www.afl.com.au/afl/matches/8192,CD_M20260141806,https://www.footyinfo.com/match/australian-football-league/2026/round-18/gws-vs-geelong-19085
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Melbourne , Richmond, MCG,,https://www.afl.com.au/afl/matches/8185,CD_M20260141807,https://www.footyinfo.com/match/australian-football-league/2026/round-18/melbourne-vs-richmond-19086
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,St Kilda , Port Adelaide, Marvel Stadium,,https://www.afl.com.au/afl/matches/8188,CD_M20260141808,https://www.footyinfo.com/match/australian-football-league/2026/round-18/st-kilda-vs-port-adelaide-19087
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Western Bulldogs , West Coast Eagles, Marvel Stadium,,https://www.afl.com.au/afl/matches/8193,CD_M20260141809,https://www.footyinfo.com/match/australian-football-league/2026/round-18/western-bulldogs-vs-west-coast-19088
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Adelaide Crows , Gold Coast Suns, Adelaide Oval,,https://www.afl.com.au/afl/matches/8190,CD_M20260141801,https://www.footyinfo.com/match/australian-football-league/2026/round-18/adelaide-vs-gold-coast-19089
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Fremantle , Sydney Swans, Optus Stadium,,https://www.afl.com.au/afl/matches/8189,CD_M20260141805,https://www.footyinfo.com/match/australian-football-league/2026/round-18/fremantle-vs-sydney-19090
2026,ROUND 19 (dates and times TBC),Thursday July 16 – Sunday July 19,Collingwood , Carlton, MCG,,https://www.afl.com.au/afl/matches/8194,CD_M20260141901,https://www.footyinfo.com/match/australian-football-league/2026/round-19/collingwood-vs-carlton-19091
2026,ROUND 19 (dates and times TBC),Thursday July 16 – Sunday July 19,Essendon , GWS Giants, Marvel Stadium,,https://www.afl.com.au/afl/matches/8191,CD_M20260141902,https://www.footyinfo.com/match/australian-football-league/2026/round-19/essendon-vs-gws-19092
